lemma,level,source
adversity,B2,cefrj
advert,B1,cefrj
advertise,B1,cefrj
advertisement,A2,cefrj
advertising,A2,cefrj
advice,A2,cefrj
advise,A2,cefrj
adviser,B1,cefrj
advisor,B1,cefrj
advisory,C1,octanove
aerobics,B1,cefrj
aeroplane,A1,cefrj
aesthetic,C1,octanove
aesthetically,C1,octanove
affair,A2,cefrj
affect,B1,cefrj
affectation,C2,octanove
affection,B1,cefrj
affectionate,B2,cefrj
affectionately,B2,cefrj
afford,B1,cefrj
affordable,B2,cefrj
afraid,A1,cefrj
after,A1,cefrj
afternoon,A1,cefrj
afterward,B1,cefrj
afterwards,B1,cefrj
again,A1,cefrj
against,A2,cefrj
age,A1,cefrj
aged,A2,cefrj
ageless,B2,cefrj
agency,A2,cefrj
agenda,B1,cefrj
agent,A2,cefrj
aggressive,B1,cefrj
aggressively,B2,cefrj
aghast,C2,octanove
agile,C2,octanove
agility,C2,octanove
ago,A1,cefrj
agonise,B2,cefrj
agonize,B2,cefrj
agony,B2,cefrj
agree,A1,cefrj
agreeable,C1,octanove
agreement,B1,cefrj
agricultural,B1,cefrj
agriculture,B1,cefrj
ahead,A2,cefrj
aid,B1,cefrj
aim,B1,cefrj
aimless,C1,octanove
aimlessly,C1,octanove
air,A2,cefrj
aircraft,B2,cefrj
aircrew,B2,cefrj
airline,B1,cefrj
airplane,A1,cefrj
airport,A1,cefrj
aisle,A2,cefrj
alarm,A2,cefrj
album,A1,cefrj
alcohol,B1,cefrj
alcoholic,B1,cefrj
alcoholism,B2,cefrj
alert,B2,cefrj
alienate,C1,octanove
align,C1,octanove
alignment,C1,octanove
alike,B1,cefrj
alive,A2,cefrj
all,A1,cefrj
all-encompassing,C2,octanove
allegation,B2,cefrj
allege,C1,octanove
allegorical,C2,octanove
allegory,C2,octanove
allergic,B1,cefrj
alleviate,C1,octanove
alliance,B2,cefrj
allot,C2,octanove
allotment,C2,octanove
allow,A2,cefrj
allowance,B1,cefrj
allude,C2,octanove
allusion,C2,octanove
ally,B2,cefrj
almost,A1,cefrj
alone,A1,cefrj
along,A1,cefrj
alongside,B2,cefrj
aloud,B1,cefrj
alphabet,B1,cefrj
alphabetical,B2,cefrj
already,A1,cefrj
alright,A2,cefrj
also,A1,cefrj
altar,B2,cefrj
alter,B2,cefrj
alternate,B2,cefrj
alternative,B1,cefrj
alternatively,B2,cefrj
although,A2,cefrj
altitude,B2,cefrj
altogether,B1,cefrj
altruism,C1,octanove
altruistic,C1,octanove
aluminium,B2,cefrj
aluminum,B2,cefrj
always,A1,cefrj
am,A1,cefrj
amateur,C1,octanove
amaze,B2,cefrj
amazed,B1,cefrj
amazement,B2,cefrj
amazing,B1,cefrj
amazingly,B2,cefrj
ambassador,B2,cefrj
ambiguity,B2,cefrj
ambiguous,B2,cefrj
ambition,A2,cefrj
ambitious,B1,cefrj
ambulance,B1,cefrj
amid,C1,octanove
ammonia,B2,cefrj
among,A2,cefrj
amongst,B2,cefrj
amorphous,C2,octanove
amorphously,C2,octanove
amount,B1,cefrj
ample,B2,cefrj
amplification,C1,octanove
amplifier,B2,cefrj
amplify,B2,cefrj
amply,C1,octanove
amuse,B2,cefrj
amused,A2,cefrj
amusement,A2,cefrj
amusing,B1,cefrj
an,A1,cefrj
analogy,B2,cefrj
analyse,B1,cefrj
analysis,B1,cefrj
analyst,B2,cefrj
analyze,B1,cefrj
anarchic,C2,octanove
ancestor,A2,cefrj
anchor,B2,cefrj
anchorage,B2,cefrj
anchored,C1,octanove
anchorman,B2,cefrj
anchorperson,B2,cefrj
ancient,A2,cefrj
and,A1,cefrj
angel,A2,cefrj
anger,B1,cefrj
angle,B1,cefrj
angrily,A2,cefrj
angry,A1,cefrj
angst,C2,octanove
angsty,C2,octanove
anguish,B2,cefrj
angular,C2,octanove
angularity,C2,octanove
animal,A1,cefrj
animate,B2,cefrj
animated,B1,cefrj
animatedly,C1,octanove
animation,B1,cefrj
ankle,A2,cefrj
annex,C2,octanove
anniversary,A2,cefrj
announce,B1,cefrj
announcement,B1,cefrj
annoy,A2,cefrj
annoyance,B1,cefrj
annoyed,B1,cefrj
annoying,A2,cefrj
annual,B1,cefrj
annually,B1,cefrj
anonymity,C2,octanove
anonymous,B2,cefrj
another,A1,cefrj
answer,A1,cefrj
ant,B1,cefrj
antediluvian,C2,octanove
anthology,C2,octanove
anthropological,C2,octanove
anthropologically,C2,octanove
anthropologist,C1,octanove
anthropology,C1,octanove
anti,B1,cefrj
antiaircraft,B2,cefrj
antibacterial,B2,cefrj
anticancer,B2,cefrj
anticipate,B2,cefrj
anticipation,B2,cefrj
anticlimactic,C1,octanove
anticlimactically,C2,octanove
antics,C1,octanove
antidote,C2,octanove
antipollution,B2,cefrj
antiquated,C1,octanove
antique,B1,cefrj
antiquity,C1,octanove
antistatic,B2,cefrj
antithesis,C2,octanove
antithetical,C2,octanove
antivirus,B2,cefrj
antonym,B1,cefrj
anxiety,B1,cefrj
anxious,A2,cefrj
anxiously,B1,cefrj
any,A1,cefrj
anybody,A1,cefrj
anyhow,B1,cefrj
anymore,A2,cefrj
anyone,A1,cefrj
anything,A1,cefrj
anyway,A2,cefrj
anywhere,A2,cefrj
apart,A2,cefrj
apartment,A2,cefrj
ape,B1,cefrj
apologise,A2,cefrj
apologize,A2,cefrj
apology,B1,cefrj
apostle,C2,octanove
apostrophe,B2,cefrj
appal,C1,octanove
appall,C1,octanove
appalling,C1,octanove
appallingly,C1,octanove
apparent,B1,cefrj
apparently,A2,cefrj
appeal,B1,cefrj
appear,A2,cefrj
appearance,A2,cefrj
appetite,B1,cefrj
applaud,B1,cefrj
applause,B1,cefrj
apple,A1,cefrj
appliance,C1,octanove
applicant,B2,cefrj
application,B1,cefrj
apply,A2,cefrj
appoint,B1,cefrj
appointment,A2,cefrj
appreciate,A2,cefrj
appreciation,B1,cefrj
appreciative,B2,cefrj
apprehend,C2,octanove
apprehensive,C1,octanove
apprentice,C1,octanove
apprenticeship,C1,octanove
approach,B1,cefrj
appropriate,A2,cefrj
appropriately,B2,cefrj
approval,B1,cefrj
approve,B1,cefrj
approximate,B2,cefrj
approximately,B1,cefrj
april,A1,cefrj
apron,A1,cefrj
apt,C1,octanove
aptitude,C2,octanove
aqua,C1,octanove
aquarium,C1,octanove
arcane,C2,octanove
arcanely,C2,octanove
arch,B2,cefrj
archaeologist,B2,cefrj
archeologist,B2,cefrj
archetypal,C2,octanove
archetype,C2,octanove
architect,B1,cefrj
architecture,A2,cefrj
archival,C2,octanove
arctic,B2,cefrj
ardor,C2,octanove
ardour,C2,octanove
arduous,C2,octanove
arduously,C2,octanove
are,A1,cefrj
area,A2,cefrj
arena,B2,cefrj
argue,A2,cefrj
argument,A2,cefrj
arise,B1,cefrj
aristocracy,B2,cefrj
arithmetic,B1,cefrj
arm,A1,cefrj
armchair,A2,cefrj
armed,A2,cefrj
armful,B2,cefrj
armory,C2,octanove
armoury,C2,octanove
army,B1,cefrj
around,A1,cefrj
arouse,B2,cefrj
arrange,B1,cefrj
arrangement,B1,cefrj
arrest,B1,cefrj
arrival,B1,cefrj
arrive,A1,cefrj
arrogant,B2,cefrj
arrow,B1,cefrj
art,A1,cefrj
artery,B2,cefrj
article,A1,cefrj
articulate,B2,cefrj
articulation,C2,octanove
artifact,C2,octanove
artifice,C2,octanove
artificial,A2,cefrj
artificially,B2,cefrj
artist,B1,cefrj
artistic,B1,cefrj
artistically,C1,octanove
artistry,B2,cefrj
as,A1,cefrj
ash,B2,cefrj
ashamed,B1,cefrj
aside,B1,cefrj
ask,A1,cefrj
asleep,A2,cefrj
aspect,B1,cefrj
aspiration,B2,cefrj
aspire,B2,cefrj
aspirin,B1,cefrj
assault,B2,cefrj
assemble,B2,cefrj
assembly,B2,cefrj
assert,B2,cefrj
assertion,C1,octanove
assess,B2,cefrj
assessment,B2,cefrj
assign,B1,cefrj
assignment,B1,cefrj
assimilate,C2,octanove
assimilation,C2,octanove
assist,B1,cefrj
assistance,B1,cefrj
assistant,A2,cefrj
associate,B1,cefrj
association,A2,cefrj
assume,B1,cefrj
assumption,B2,cefrj
assurance,B2,cefrj
assure,B2,cefrj
astonish,B2,cefrj
astonished,B2,cefrj
astonishing,B2,cefrj
astonishment,B2,cefrj
astray,C1,octanove
astringent,C2,octanove
astronaut,A2,cefrj
astronomer,B1,cefrj
astronomy,B2,cefrj
at,A1,cefrj
athlete,A2,cefrj
athletic,B1,cefrj
athleticism,C2,octanove
athletics,B2,cefrj
atlantic,B1,cefrj
atmosphere,B1,cefrj
atmospheric,C1,octanove
atom,A2,cefrj
atomic,B1,cefrj
attach,B1,cefrj
attached,B2,cefrj
attachment,B1,cefrj
attack,A2,cefrj
attain,B1,cefrj
attainable,B2,cefrj
attainment,B2,cefrj
attempt,A2,cefrj
attend,B1,cefrj
attendance,B2,cefrj
attention,A2,cefrj
attentive,B2,cefrj
attentively,B2,cefrj
attitude,A2,cefrj
attract,B1,cefrj
attraction,B1,cefrj
attractive,A2,cefrj
attractiveness,B2,cefrj
attribute,B2,cefrj
attributive,C2,octanove
attrition,C2,octanove
attuned,C2,octanove
atypical,B2,cefrj
aubergine,B2,cefrj
audience,A2,cefrj
audio,A2,cefrj
audit,B2,cefrj
audition,B2,cefrj
august,A1,cefrj
aunt,A1,cefrj
austere,C2,octanove
austerely,C2,octanove
austerity,C2,octanove
authenticity,C2,octanove
author,A2,cefrj
authorise,B2,cefrj
authoritative,B2,cefrj
authority,B1,cefrj
authorize,B2,cefrj
automate,C2,octanove
automatic,A2,cefrj
automatically,A2,cefrj
autonomous,C2,octanove
autonomously,C2,octanove
autopilot,C2,octanove
autumn,A1,cefrj
auxiliary,B1,cefrj
availability,B2,cefrj
available,B1,cefrj
avenue,B1,cefrj
average,A2,cefrj
averse,C2,octanove
avian,C2,octanove
avid,C1,octanove
avoid,A2,cefrj
await,B2,cefrj
awake,A1,cefrj
award,A2,cefrj
aware,B1,cefrj
awareness,B1,cefrj
away,A1,cefrj
awe,B2,cefrj
awesome,B1,cefrj
awful,A2,cefrj
awkward,B1,cefrj
ax,B2,cefrj
axe,B2,cefrj
axiom,C2,octanove
axiomatic,C2,octanove
axis,B2,cefrj
babble,C2,octanove
baby,A1,cefrj
babysit,B1,cefrj
babysitter,B1,cefrj
back,A1,cefrj
backache,B1,cefrj
background,A2,cefrj
backpack,B1,cefrj
backpacker,B1,cefrj
backpacking,B1,cefrj
backup,B2,cefrj
backward,B2,cefrj
backwards,B2,cefrj
backyard,B2,cefrj
bacon,B1,cefrj
bad,A1,cefrj
bad-tempered,B2,cefrj
badge,B2,cefrj
badly,A2,cefrj
badminton,A2,cefrj
bag,A1,cefrj
baggage,B1,cefrj
bake,A2,cefrj
baker,B1,cefrj
bakery,B1,cefrj
balance,B1,cefrj
balanced,B2,cefrj
balcony,A2,cefrj
bald,B1,cefrj
baldly,C1,octanove
balky,B2,cefrj
ball,A1,cefrj
ballad,B2,cefrj
ballet,B2,cefrj
balloon,A2,cefrj
ballot,B2,cefrj
ban,B2,cefrj
banana,A1,cefrj
band,A1,cefrj
bandage,B1,cefrj
bang,B1,cefrj
banish,C2,octanove
banishment,C2,octanove
bank,A1,cefrj
banker,B2,cefrj
banking,A2,cefrj
bankrupt,B2,cefrj
bankruptcy,B2,cefrj
bar,A1,cefrj
barbecue,A2,cefrj
barber,A2,cefrj
barbershop,B2,cefrj
bare,B1,cefrj
barely,B1,cefrj
bargain,A2,cefrj
bark,B1,cefrj
barley,B2,cefrj
barman,B1,cefrj
barn,B2,cefrj
barometer,B2,cefrj
baroque,C2,octanove
barrel,B1,cefrj
barren,B2,cefrj
barrier,B2,cefrj
bartender,B2,cefrj
base,A2,cefrj
baseball,A1,cefrj
basement,B1,cefrj
basic,A2,cefrj
basically,A2,cefrj
basin,B1,cefrj
basis,B1,cefrj
basket,A2,cefrj
basketball,A1,cefrj
bat,A1,cefrj
batch,A2,cefrj
bath,A1,cefrj
bathe,B1,cefrj
bathhouse,B2,cefrj
bathroom,A1,cefrj
batter,C1,octanove
battered,C1,octanove
battery,A2,cefrj
battle,B1,cefrj
battlefield,B2,cefrj
bauble,C2,octanove
bay,A2,cefrj
be,A1,cefrj
beach,A1,cefrj
beagle,B2,cefrj
beak,B2,cefrj
beam,B2,cefrj
bean,A1,cefrj
bear,A1,cefrj
beard,B1,cefrj
bearded,C1,octanove
bearing,B2,cefrj
beast,B1,cefrj
beat,B1,cefrj
beautiful,A1,cefrj
beautifully,B1,cefrj
beautify,B2,cefrj
beauty,A2,cefrj
beaver,B1,cefrj
because,A1,cefrj
become,A1,cefrj
bed,A1,cefrj
bedroom,A1,cefrj
bedside,B1,cefrj
bee,A1,cefrj
beef,A1,cefrj
been,A2,cefrj
beer,A2,cefrj
before,A1,cefrj
beforehand,C1,octanove
beg,A2,cefrj
begin,A1,cefrj
beginner,A2,cefrj
beginning,A2,cefrj
beguiling,C1,octanove
beguilingly,C1,octanove
behalf,B1,cefrj
behave,B1,cefrj
behavior,A2,cefrj
behaviour,A2,cefrj
behest,C2,octanove
behind,A1,cefrj
being,A2,cefrj
belief,B1,cefrj
believably,C1,octanove
believe,A1,cefrj
bell,A1,cefrj
belligerence,C2,octanove
belligerent,C2,octanove
bellow,B2,cefrj
belly,A2,cefrj
belong,A2,cefrj
belongings,B2,cefrj
beloved,B1,cefrj
below,A1,cefrj
belt,A2,cefrj
bench,A2,cefrj
bend,A2,cefrj
beneath,B1,cefrj
beneficial,B2,cefrj
beneficiary,C2,octanove
benefit,B1,cefrj
benevolence,B2,cefrj
benevolent,B2,cefrj
benign,C1,octanove
benignly,C1,octanove
bent,B1,cefrj
bequeath,C1,octanove
bereft,C2,octanove
bereftly,C2,octanove
berry,B2,cefrj
beside,A1,cefrj
besides,A2,cefrj
besiege,C2,octanove
best,A1,cefrj
bestow,B2,cefrj
bestseller,B2,cefrj
bet,B1,cefrj
betray,B2,cefrj
better,A1,cefrj
between,A1,cefrj
bewilder,B2,cefrj
bewilderment,B2,cefrj
beyond,A2,cefrj
bicycle,A1,cefrj
bid,B2,cefrj
bidding,B2,cefrj
big,A1,cefrj
bike,A1,cefrj
bikini,B2,cefrj
bilingual,B1,cefrj
bill,A2,cefrj
billiards,C1,octanove
billion,B2,cefrj
bin,B1,cefrj
bind,B2,cefrj
bio,B2,cefrj
biochemistry,B1,cefrj
biography,B1,cefrj
biological,B2,cefrj
biology,B1,cefrj
biotechnology,B2,cefrj
bird,A1,cefrj
birdcage,B2,cefrj
birth,A1,cefrj
birthday,A1,cefrj
birthplace,B2,cefrj
biscuit,A1,cefrj
bishop,B1,cefrj
bit,A2,cefrj
bite,A2,cefrj
bitter,B1,cefrj
bitterly,B2,cefrj
bizarre,B2,cefrj
black,A1,cefrj
blackboard,A2,cefrj
blade,B2,cefrj
blame,A2,cefrj
blandishment,C2,octanove
blank,A1,cefrj
blanket,A2,cefrj
blankness,C1,octanove
blast,B2,cefrj
blaze,B2,cefrj
bleed,B1,cefrj
blend,B1,cefrj
bless,B1,cefrj
blessing,B1,cefrj
blight,C2,octanove
blind,B1,cefrj
blindly,B2,cefrj
blindness,B2,cefrj
blink,B2,cefrj
bliss,C1,octanove
blister,C1,octanove
blithely,C1,octanove
blitz,C2,octanove
block,A1,cefrj
blockbuster,C1,octanove
blog,B1,cefrj
blogger,B1,cefrj
blonde,A2,cefrj
blood,A2,cefrj
bloodstream,B2,cefrj
bloody,B2,cefrj
bloom,A2,cefrj
blooming,B2,cefrj
blossom,B2,cefrj
blow,A1,cefrj
blubber,C2,octanove
blubbery,C2,octanove
blue,A1,cefrj
blur,B2,cefrj
blurb,C2,octanove
blurt,B2,cefrj
blush,B1,cefrj
board,A1,cefrj
boast,B1,cefrj
boat,A1,cefrj
body,A1,cefrj
bogus,C2,octanove
boil,A2,cefrj
boiled,A2,cefrj
boiling,B2,cefrj
bold,B1,cefrj
boldly,B1,cefrj
bolt,B2,cefrj
bomb,B1,cefrj
bombard,B2,cefrj
bomber,B2,cefrj
bombing,B2,cefrj
bond,B1,cefrj
bone,A1,cefrj
bonus,A2,cefrj
bony,B2,cefrj
book,A1,cefrj
bookcase,A2,cefrj
booking,B1,cefrj
bookish,B2,cefrj
booklet,B2,cefrj
bookmark,B2,cefrj
bookshelf,A2,cefrj
bookshop,A2,cefrj
bookstore,A1,cefrj
boom,B1,cefrj
boost,B2,cefrj
boot,B1,cefrj
booth,B2,cefrj
border,B1,cefrj
bore,B1,cefrj
bored,A2,cefrj
boredom,B1,cefrj
boring,A1,cefrj
borrow,A1,cefrj
boss,A2,cefrj
bossy,B2,cefrj
botany,B2,cefrj
both,A1,cefrj
bother,A2,cefrj
bothered,B2,cefrj
bothersome,B2,cefrj
bottle,A1,cefrj
bottom,A1,cefrj
bounce,B1,cefrj
bound,B1,cefrj
bouquet,C1,octanove
bourbon,B2,cefrj
bout,C2,octanove
bow,B1,cefrj
bowl,A1,cefrj
box,A1,cefrj
boxer,B2,cefrj
boxing,B1,cefrj
boy,A1,cefrj
boyfriend,A1,cefrj
bra,A2,cefrj
bracelet,B1,cefrj
bracket,B2,cefrj
brag,B2,cefrj
brain,A1,cefrj
brainstorm,A2,cefrj
brainstorming,B1,cefrj
brainwash,C1,octanove
brainwashing,C1,octanove
brake,A2,cefrj
branch,A2,cefrj
brand,A2,cefrj
brand-new,B1,cefrj
brandish,C2,octanove
brass,B1,cefrj
brave,A2,cefrj
bravely,B1,cefrj
bravery,B2,cefrj
bread,A1,cefrj
breadwinner,C2,octanove
break,A1,cefrj
breakable,B2,cefrj
breakdown,B2,cefrj
breakfast,A1,cefrj
breakthrough,B1,cefrj
breakup,B2,cefrj
breast,B1,cefrj
breath,B1,cefrj
breathe,A1,cefrj
breathless,B1,cefrj
breathtaking,B2,cefrj
breed,B1,cefrj
breeding,B1,cefrj
breeze,A2,cefrj
breezy,B2,cefrj
brevity,C2,octanove
brewery,B2,cefrj
bribe,C1,octanove
bribery,C1,octanove
brick,B1,cefrj
bride,A2,cefrj
bridge,A1,cefrj
brief,B1,cefrj
briefly,B1,cefrj
bright,A1,cefrj
brightly,B1,cefrj
brilliant,A2,cefrj
brilliantly,B2,cefrj
brim,C2,octanove
brimstone,C2,octanove
bring,A1,cefrj
brink,C2,octanove
broad,B1,cefrj
broadband,B2,cefrj
broadcast,B1,cefrj
broadcaster,B2,cefrj
broaden,B2,cefrj
broadly,B2,cefrj
broccoli,B1,cefrj
brochure,B2,cefrj
broken,A1,cefrj
bronze,B1,cefrj
brood,C2,octanove
brother,A1,cefrj
brother-in-law,B2,cefrj
brotherhood,B1,cefrj
brouhaha,C2,octanove
brown,A1,cefrj
browse,B2,cefrj
browser,B2,cefrj
bruise,B2,cefrj
brush,A1,cefrj
bubble,B1,cefrj
bubbly,C1,octanove
buccaneer,C2,octanove
bucket,A1,cefrj
bud,B2,cefrj
buddy,B1,cefrj
budget,A2,cefrj
buffer,C1,octanove
buffoon,C1,octanove
buffoonery,C2,octanove
bug,A2,cefrj
build,A1,cefrj
builder,B1,cefrj
building,A1,cefrj
bulb,A2,cefrj
bulimia,B2,cefrj
bulk,C1,octanove
bulky,C1,octanove
bull,B1,cefrj
bullet,B1,cefrj
bulletin,B1,cefrj
bully,B2,cefrj
bum,B2,cefrj
bump,B1,cefrj
bumper,B2,cefrj
bun,B2,cefrj
bunch,B1,cefrj
burden,B1,cefrj
burdensome,B2,cefrj
bureau,B1,cefrj
bureaucracy,B2,cefrj
bureaucratic,C1,octanove
bureaucratically,C1,octanove
burgeoning,C2,octanove
burger,A1,cefrj
burglar,B1,cefrj
burglary,B2,cefrj
burgle,B2,cefrj
burial,B2,cefrj
burn,A2,cefrj
burning,B1,cefrj
burst,B1,cefrj
bury,A2,cefrj
bus,A1,cefrj
bush,A2,cefrj
business,A1,cefrj
businessman,A2,cefrj
businesswoman,A2,cefrj
bust,B1,cefrj
bustle,B2,cefrj
bustling,B2,cefrj
busy,A1,cefrj
but,A1,cefrj
butcher,B1,cefrj
butter,A1,cefrj
butterfly,A1,cefrj
button,A1,cefrj
buy,A1,cefrj
buyer,B1,cefrj
buzz,B2,cefrj
buzzard,C2,octanove
buzzer,C1,octanove
by,A1,cefrj
bye,A1,cefrj
bypass,C1,octanove
cab,A2,cefrj
cabbage,B1,cefrj
cabin,B1,cefrj
cabinet,B2,cefrj
cable,B2,cefrj
cafe,A1,cefrj
cafeteria,A2,cefrj
caffeinate,C2,octanove
cage,B1,cefrj
cake,A1,cefrj
calamitous,C2,octanove
calamitously,C2,octanove
calamity,C2,octanove
calculate,B1,cefrj
calculation,B1,cefrj
calculator,B1,cefrj
calendar,A2,cefrj
calf,B1,cefrj
call,A1,cefrj
caller,B1,cefrj
callous,C2,octanove
callously,C2,octanove
calm,B1,cefrj
calmly,B2,cefrj
calmness,B1,cefrj
calorie,C1,octanove
calorific,C2,octanove
camel,B1,cefrj
camera,A1,cefrj
camp,A1,cefrj
campaign,B2,cefrj
camping,A2,cefrj
campsite,B1,cefrj
campus,A2,cefrj
can,A1,cefrj
canal,B1,cefrj
cancel,B1,cefrj
cancer,B1,cefrj
candid,C1,octanove
candidate,B2,cefrj
candidly,C1,octanove
candle,B1,cefrj
candy,A1,cefrj
cane,B2,cefrj
canned,B1,cefrj
cannonball,B2,cefrj
canoe,C1,octanove
canon,B2,cefrj
canteen,B1,cefrj
cap,A1,cefrj
capability,B2,cefrj
capable,B1,cefrj
capacious,C2,octanove
capacity,B1,cefrj
capital,A2,cefrj
capsule,B1,cefrj
captain,A2,cefrj
caption,B2,cefrj
captive,B2,cefrj
capture,B1,cefrj
car,A1,cefrj
caravan,B2,cefrj
carbon,B2,cefrj
carbonise,C2,octanove
carbonize,C2,octanove
card,A1,cefrj
cardboard,B2,cefrj
cardigan,B2,cefrj
care,A1,cefrj
career,B1,cefrj
carefree,B2,cefrj
careful,A1,cefrj
carefully,A1,cefrj
careless,B1,cefrj
carelessly,B1,cefrj
carelessness,B1,cefrj
caring,B2,cefrj
carnival,B2,cefrj
carpenter,C1,octanove
carpentry,C1,octanove
carpet,B1,cefrj
carpool,B2,cefrj
carriage,B1,cefrj
carrier,C1,octanove
carrot,A2,cefrj
carry,A1,cefrj
carton,B1,cefrj
cartoon,A1,cefrj
carve,B2,cefrj
cascade,B2,cefrj
case,A1,cefrj
cash,A2,cefrj
cashpoint,B1,cefrj
cassette,A2,cefrj
cast,B2,cefrj
castle,A2,cefrj
casual,B1,cefrj
casually,B2,cefrj
cat,A1,cefrj
catalog,B2,cefrj
catalogue,B2,cefrj
catalyst,B2,cefrj
catastrophe,B2,cefrj
catastrophic,B2,cefrj
catastrophically,C2,octanove
catch,A1,cefrj
catchy,B2,cefrj
categorisation,B2,cefrj
categorise,B1,cefrj
categorization,B2,cefrj
categorize,B1,cefrj
category,B1,cefrj
catering,B2,cefrj
cathedral,B2,cefrj
cattle,B1,cefrj
cause,A2,cefrj
caution,B1,cefrj
cautious,B1,cefrj
cave,B1,cefrj
cavity,C1,octanove
cay,C2,octanove
cd,A1,cefrj
cd-rom,B1,cefrj
cease,B2,cefrj
ceaseless,C1,octanove
ceaselessly,C1,octanove
ceiling,B2,cefrj
celebrate,A1,cefrj
celebration,A1,cefrj
celebrity,B1,cefrj
cell,B1,cefrj
cellar,B2,cefrj
cellist,B2,cefrj
cello,B2,cefrj
cemetery,B2,cefrj
cent,A2,cefrj
center,A2,cefrj
centigrade,B2,cefrj
centimeter,A2,cefrj
centimetre,A2,cefrj
central,B1,cefrj
centralised,C2,octanove
centralized,C2,octanove
centre,A2,cefrj
century,A2,cefrj
cereal,A2,cefrj
ceremony,B1,cefrj
certain,A2,cefrj
certainly,A2,cefrj
certainty,B1,cefrj
certificate,B2,cefrj
certification,B2,cefrj
certify,B2,cefrj
cessation,C1,octanove
chain,A2,cefrj
chair,A1,cefrj
chairman,A2,cefrj
challenge,A2,cefrj
challenging,B1,cefrj
champagne,A2,cefrj
champion,B1,cefrj
championship,A2,cefrj
chance,A2,cefrj
chancellor,B2,cefrj
change,A1,cefrj
channel,B1,cefrj
chaos,B1,cefrj
chaotic,B2,cefrj
chaotically,C1,octanove
chapter,A2,cefrj
character,A1,cefrj
